Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:09 EST
"Nutrient data for: 01302, Light ice cream, Creamsicle"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,61.77,
"Energy",kcal,165,
"Protein",g,1.54,
"Total lipid (fat)",g,3.08,
"Carbohydrate, by difference",g,32.75,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,18.46,
Minerals
"Calcium, Ca",mg,62,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,84,
"Potassium, K",mg,174,
"Sodium, Na",mg,46,
"Zinc, Zn",mg,0.66,
Vitamins
"Vitamin C, total ascorbic acid",mg,13.8,
"Thiamin",mg,0.045,
"Riboflavin",mg,0.206,
"Niacin",mg,0.113,
"Vitamin B-6",mg,0.038,
"Folate, DFE",µg,6,
"Vitamin B-12",µg,0.36,
"Vitamin A, RAE",µg,93,
"Vitamin A, IU",IU,324,
"Vitamin E (alpha-tocopherol)",mg,0.09,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,2,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,1.813,
"Fatty acids, total monounsaturated",g,0.819,
"Fatty acids, total polyunsaturated",g,0.137,
"Cholesterol",mg,8,
Amino Acids
Other
"Caffeine",mg,0,
