Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:06 EST
"Nutrient data for: 06178, USDA Commodity, salsa"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,89.70,
"Energy",kcal,36,
"Protein",g,1.50,
"Total lipid (fat)",g,0.20,
"Carbohydrate, by difference",g,7.00,
"Fiber, total dietary",g,1.4,
Minerals
"Calcium, Ca",mg,12,
"Iron, Fe",mg,2.24,
"Magnesium, Mg",mg,16,
"Phosphorus, P",mg,30,
"Potassium, K",mg,270,
"Sodium, Na",mg,430,
"Zinc, Zn",mg,0.17,
Vitamins
"Vitamin C, total ascorbic acid",mg,4.0,
"Thiamin",mg,0.050,
"Riboflavin",mg,0.030,
"Niacin",mg,1.080,
"Vitamin B-6",mg,0.149,
"Folate, DFE",µg,19,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,28,
"Vitamin A, IU",IU,550,
Lipids
"Fatty acids, total saturated",g,0.029,
"Fatty acids, total monounsaturated",g,0.016,
"Fatty acids, total polyunsaturated",g,0.107,
"Cholesterol",mg,0,
Amino Acids
Other
