Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:11 EST
"Nutrient data for: 09178, Mango, dried, sweetened"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,16.60,
"Energy",kcal,319,
"Protein",g,2.45,
"Total lipid (fat)",g,1.18,
"Carbohydrate, by difference",g,78.58,
"Fiber, total dietary",g,2.4,
"Sugars, total",g,66.27,
Minerals
"Calcium, Ca",mg,0,
"Iron, Fe",mg,0.23,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,50,
"Potassium, K",mg,279,
"Sodium, Na",mg,162,
"Zinc, Zn",mg,0.30,
Vitamins
"Vitamin C, total ascorbic acid",mg,42.3,
"Thiamin",mg,0.062,
"Riboflavin",mg,0.085,
"Niacin",mg,2.000,
"Vitamin B-6",mg,0.334,
"Folate, DFE",µg,68,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,67,
"Vitamin A, IU",IU,1343,
"Vitamin E (alpha-tocopherol)",mg,4.02,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,13.2,
Lipids
"Fatty acids, total saturated",g,0.287,
"Fatty acids, total monounsaturated",g,0.439,
"Fatty acids, total polyunsaturated",g,0.222,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
Footnotes
(a)"Some brands contain sodium metabisulfite."
