Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35169, Fish, sheefish, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,74.62,
"Energy",kcal,115,
"Protein",g,22.25,
"Total lipid (fat)",g,2.84,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,140,
"Iron, Fe",mg,0.50,
"Magnesium, Mg",mg,25,
"Phosphorus, P",mg,300,
"Potassium, K",mg,390,
"Sodium, Na",mg,52,
"Zinc, Zn",mg,0.60,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.041,
"Riboflavin",mg,0.126,
"Niacin",mg,2.120,
"Vitamin B-6",mg,0.162,
"Folate, DFE",µg,9,
"Vitamin B-12",µg,5.90,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.44,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.490,
"Fatty acids, total monounsaturated",g,1.080,
"Fatty acids, total polyunsaturated",g,0.700,
"Cholesterol",mg,56,
Amino Acids
Other
"Caffeine",mg,0,
