Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35188, Fish, halibut, cooked, with skin (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,72.82,
"Energy",kcal,113,
"Protein",g,22.13,
"Total lipid (fat)",g,2.73,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,33,
"Iron, Fe",mg,0.36,
"Magnesium, Mg",mg,29,
"Phosphorus, P",mg,275,
"Potassium, K",mg,501,
"Sodium, Na",mg,86,
"Zinc, Zn",mg,0.75,
Vitamins
"Thiamin",mg,0.083,
"Riboflavin",mg,0.176,
"Niacin",mg,6.247,
"Vitamin B-6",mg,0.266,
"Vitamin B-12",µg,2.55,
"Vitamin A, RAE",µg,48,
"Vitamin A, IU",IU,160,
"Vitamin E (alpha-tocopherol)",mg,1.05,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.498,
"Fatty acids, total monounsaturated",g,0.842,
"Fatty acids, total polyunsaturated",g,0.731,
"Cholesterol",mg,75,
Amino Acids
Other
"Caffeine",mg,0,
