Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35075, Squirrel, ground, meat (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,75.40,
"Energy",kcal,111,
"Protein",g,19.30,
"Total lipid (fat)",g,3.80,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,4.70,
"Phosphorus, P",mg,175,
Vitamins
"Vitamin A, IU",IU,220,
Lipids
Amino Acids
Other
