Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35149, Fish, halibut, raw, with skin (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,73.44,
"Energy",kcal,116,
"Protein",g,20.53,
"Total lipid (fat)",g,2.92,
"Carbohydrate, by difference",g,1.81,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,0.27,
"Magnesium, Mg",mg,26,
"Phosphorus, P",mg,244,
"Potassium, K",mg,449,
"Sodium, Na",mg,79,
"Zinc, Zn",mg,0.61,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.066,
"Riboflavin",mg,0.072,
"Niacin",mg,5.762,
"Vitamin B-6",mg,0.390,
"Folate, DFE",µg,15,
"Vitamin B-12",µg,1.78,
"Vitamin A, RAE",µg,47,
"Vitamin A, IU",IU,157,
"Vitamin E (alpha-tocopherol)",mg,1.90,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.726,
"Fatty acids, total monounsaturated",g,1.195,
"Fatty acids, total polyunsaturated",g,0.912,
"Cholesterol",mg,72,
Amino Acids
Other
"Caffeine",mg,0,
