Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35038, Fireweed, young leaves, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,87.20,
"Energy",kcal,44,
"Protein",g,3.00,
"Total lipid (fat)",g,0.80,
"Carbohydrate, by difference",g,6.30,
"Fiber, total dietary",g,6.0,
Minerals
"Calcium, Ca",mg,13,
"Iron, Fe",mg,2.10,
"Phosphorus, P",mg,166,
"Potassium, K",mg,251,
"Sodium, Na",mg,50,
Vitamins
"Vitamin C, total ascorbic acid",mg,99.0,
"Thiamin",mg,0.040,
"Riboflavin",mg,0.860,
"Niacin",mg,1.400,
"Vitamin A, IU",IU,5720,
Lipids
Amino Acids
Other
