Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35023, Caribou, liver, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.40,
"Energy",kcal,122,
"Protein",g,15.00,
"Total lipid (fat)",g,3.90,
"Carbohydrate, by difference",g,6.80,
Minerals
"Calcium, Ca",mg,4,
"Iron, Fe",mg,15.70,
"Phosphorus, P",mg,282,
Vitamins
"Vitamin A, IU",IU,28800,
Lipids
Amino Acids
Other
