Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35164, Seal, bearded (Oogruk), meat, dried, in oil (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,35.48,
"Energy",kcal,367,
"Protein",g,35.31,
"Total lipid (fat)",g,25.08,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,7,
"Iron, Fe",mg,17.00,
"Magnesium, Mg",mg,29,
"Phosphorus, P",mg,240,
"Potassium, K",mg,400,
"Sodium, Na",mg,120,
"Zinc, Zn",mg,3.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.011,
"Riboflavin",mg,0.364,
"Niacin",mg,6.520,
"Vitamin B-6",mg,0.091,
"Folate, DFE",µg,11,
"Vitamin B-12",µg,5.85,
"Vitamin A, IU",IU,1947,
"Vitamin E (alpha-tocopherol)",mg,0.55,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,3.920,
"Fatty acids, total monounsaturated",g,11.160,
"Fatty acids, total polyunsaturated",g,1.180,
"Cholesterol",mg,64,
Amino Acids
Other
"Caffeine",mg,0,
