Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35055, Seal, bearded (Oogruk), meat, dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,11.60,
"Energy",kcal,351,
"Protein",g,82.60,
"Total lipid (fat)",g,2.30,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Iron, Fe",mg,49.60,
"Phosphorus, P",mg,784,
Vitamins
"Thiamin",mg,0.130,
"Riboflavin",mg,0.630,
"Vitamin A, RAE",µg,393,
"Vitamin A, IU",IU,1310,
Lipids
"Fatty acids, total saturated",g,0.600,
"Fatty acids, total monounsaturated",g,1.330,
"Fatty acids, total polyunsaturated",g,0.370,
Amino Acids
Other
"Caffeine",mg,0,
