Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35152, Fish, Salmon, Chum, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,72.34,
"Energy",kcal,116,
"Protein",g,20.69,
"Total lipid (fat)",g,3.67,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,7,
"Iron, Fe",mg,0.56,
"Magnesium, Mg",mg,26,
"Phosphorus, P",mg,230,
"Potassium, K",mg,370,
"Sodium, Na",mg,59,
"Zinc, Zn",mg,0.54,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.156,
"Riboflavin",mg,0.217,
"Niacin",mg,8.790,
"Vitamin B-6",mg,0.189,
"Folate, DFE",µg,18,
"Vitamin B-12",µg,8.08,
"Vitamin A, RAE",µg,32,
"Vitamin A, IU",IU,105,
"Vitamin E (alpha-tocopherol)",mg,0.49,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,0.547,
"Fatty acids, total monounsaturated",g,0.940,
"Fatty acids, total polyunsaturated",g,0.770,
"Cholesterol",mg,59,
Amino Acids
Other
"Caffeine",mg,0,
