Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35093, Willow, young leaves, chopped (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,68.70,
"Energy",kcal,122,
"Protein",g,6.10,
"Total lipid (fat)",g,1.60,
"Carbohydrate, by difference",g,20.70,
Minerals
"Calcium, Ca",mg,130,
"Iron, Fe",mg,2.60,
"Phosphorus, P",mg,126,
Vitamins
"Vitamin C, total ascorbic acid",mg,190.0,
"Niacin",mg,2.300,
"Vitamin A, IU",IU,18700,
Lipids
Amino Acids
Other
