Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35172, Elk, free range, ground, cooked patties (Shoshone Bannock)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,67.78,
"Energy",kcal,143,
"Protein",g,29.45,
"Total lipid (fat)",g,2.80,
"Carbohydrate, by difference",g,0.00,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,9.06,
"Magnesium, Mg",mg,26,
"Phosphorus, P",mg,236,
"Potassium, K",mg,379,
"Sodium, Na",mg,56,
"Zinc, Zn",mg,7.79,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.175,
"Riboflavin",mg,0.497,
"Niacin",mg,7.850,
"Vitamin B-6",mg,0.782,
"Folate, DFE",µg,1,
"Vitamin B-12",µg,4.25,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.79,
Lipids
"Fatty acids, total saturated",g,1.138,
"Fatty acids, total monounsaturated",g,0.952,
"Fatty acids, total polyunsaturated",g,0.239,
"Fatty acids, total trans",g,0.065,
"Cholesterol",mg,70,
Amino Acids
Other
