Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35240, Bread, blue corn, somiviki (Hopi)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,55.01,
"Energy",kcal,186,
"Protein",g,3.10,
"Total lipid (fat)",g,1.53,
"Carbohydrate, by difference",g,39.84,
"Fiber, total dietary",g,3.6,
"Sugars, total",g,12.94,
Minerals
"Calcium, Ca",mg,34,
"Iron, Fe",mg,1.58,
"Magnesium, Mg",mg,43,
"Phosphorus, P",mg,94,
"Potassium, K",mg,114,
"Sodium, Na",mg,9,
"Zinc, Zn",mg,0.82,
Vitamins
"Thiamin",mg,0.030,
"Riboflavin",mg,0.000,
"Niacin",mg,0.550,
"Vitamin B-6",mg,0.168,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,5,
"Vitamin E (alpha-tocopherol)",mg,0.34,
Lipids
"Fatty acids, total saturated",g,0.289,
"Fatty acids, total monounsaturated",g,0.347,
"Fatty acids, total polyunsaturated",g,0.779,
"Fatty acids, total trans",g,0.008,
Amino Acids
Other
