Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35089, Fish, whitefish, mixed species, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,72.80,
"Energy",kcal,131,
"Protein",g,18.90,
"Total lipid (fat)",g,6.10,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,0.29,
"Magnesium, Mg",mg,33,
"Phosphorus, P",mg,280,
"Potassium, K",mg,317,
"Sodium, Na",mg,51,
"Zinc, Zn",mg,0.99,
Vitamins
"Thiamin",mg,0.130,
"Riboflavin",mg,0.130,
"Vitamin A, IU",IU,540,
Lipids
"Fatty acids, total saturated",g,1.370,
"Fatty acids, total monounsaturated",g,2.560,
"Fatty acids, total polyunsaturated",g,1.820,
"Cholesterol",mg,55,
Amino Acids
Other
