Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35194, Agave, dried (Southwest)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,11.64,
"Energy",kcal,341,
"Protein",g,1.71,
"Total lipid (fat)",g,0.69,
"Carbohydrate, by difference",g,81.98,
"Fiber, total dietary",g,15.6,
"Sugars, total",g,50.70,
Minerals
"Calcium, Ca",mg,770,
"Iron, Fe",mg,3.64,
"Magnesium, Mg",mg,207,
"Phosphorus, P",mg,37,
"Potassium, K",mg,767,
"Sodium, Na",mg,14,
"Zinc, Zn",mg,12.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,
"Thiamin",mg,0.021,
"Riboflavin",mg,0.644,
"Niacin",mg,0.870,
"Vitamin B-6",mg,0.216,
"Folate, DFE",µg,7,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,18,
"Vitamin E (alpha-tocopherol)",mg,0.76,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.5,
Lipids
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
Footnotes
(a)"Dried on galvanized wire."
