Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35060, Fish, pike, northern, liver (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,69.80,
"Energy",kcal,156,
"Protein",g,16.60,
"Total lipid (fat)",g,8.00,
"Carbohydrate, by difference",g,4.30,
Minerals
"Calcium, Ca",mg,28,
"Iron, Fe",mg,2.10,
"Phosphorus, P",mg,412,
Vitamins
"Thiamin",mg,0.100,
"Riboflavin",mg,0.700,
"Niacin",mg,5.000,
"Vitamin A, IU",IU,860,
Lipids
Amino Acids
Other
