Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35165, Fish, whitefish, dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,20.59,
"Energy",kcal,371,
"Protein",g,62.44,
"Total lipid (fat)",g,13.44,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,810,
"Iron, Fe",mg,4.10,
"Magnesium, Mg",mg,85,
"Phosphorus, P",mg,1040,
"Potassium, K",mg,1080,
"Sodium, Na",mg,200,
"Zinc, Zn",mg,5.00,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.053,
"Riboflavin",mg,0.438,
"Niacin",mg,11.200,
"Vitamin B-6",mg,0.365,
"Folate, DFE",µg,11,
"Vitamin B-12",µg,18.40,
"Vitamin A, RAE",µg,39,
"Vitamin A, IU",IU,131,
"Vitamin E (alpha-tocopherol)",mg,0.66,
"Vitamin K (phylloquinone)",µg,1.3,
Lipids
"Fatty acids, total saturated",g,2.850,
"Fatty acids, total monounsaturated",g,4.380,
"Fatty acids, total polyunsaturated",g,2.160,
"Cholesterol",mg,266,
Amino Acids
Other
"Caffeine",mg,0,
