Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35158, Fish, whitefish, eggs (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,76.24,
"Energy",kcal,104,
"Protein",g,14.66,
"Total lipid (fat)",g,2.88,
"Carbohydrate, by difference",g,4.89,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,46,
"Iron, Fe",mg,5.95,
"Magnesium, Mg",mg,30,
"Phosphorus, P",mg,306,
"Potassium, K",mg,190,
"Sodium, Na",mg,160,
"Zinc, Zn",mg,2.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,12.0,
"Thiamin",mg,0.088,
"Riboflavin",mg,0.403,
"Niacin",mg,0.956,
"Vitamin B-6",mg,0.159,
"Folate, DFE",µg,53,
"Vitamin B-12",µg,56.40,
"Vitamin A, RAE",µg,91,
"Vitamin A, IU",IU,305,
"Vitamin E (alpha-tocopherol)",mg,2.68,
"Vitamin K (phylloquinone)",µg,0.6,
Lipids
"Fatty acids, total saturated",g,0.496,
"Fatty acids, total monounsaturated",g,1.046,
"Fatty acids, total polyunsaturated",g,1.073,
"Cholesterol",mg,439,
Amino Acids
Other
"Caffeine",mg,0,
