Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35050, Mashu roots, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,67.80,
"Energy",kcal,135,
"Protein",g,5.80,
"Total lipid (fat)",g,2.40,
"Carbohydrate, by difference",g,22.60,
Minerals
"Phosphorus, P",mg,67,
Vitamins
"Vitamin C, total ascorbic acid",mg,11.0,
"Thiamin",mg,0.100,
"Riboflavin",mg,0.070,
"Niacin",mg,1.300,
"Vitamin A, IU",IU,16,
Lipids
Amino Acids
Other
