Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35058, Oopah (tunicate), whole animal (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.20,
"Energy",kcal,67,
"Protein",g,11.70,
"Total lipid (fat)",g,2.20,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,53,
"Iron, Fe",mg,20.70,
"Phosphorus, P",mg,103,
Vitamins
"Riboflavin",mg,0.100,
"Niacin",mg,0.900,
Lipids
Amino Acids
Other
