Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35041, Fish, herring eggs, Pacific, plain (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,81.20,
"Energy",kcal,74,
"Protein",g,9.60,
"Total lipid (fat)",g,1.93,
"Carbohydrate, by difference",g,4.47,
Minerals
"Calcium, Ca",mg,19,
"Iron, Fe",mg,2.70,
"Sodium, Na",mg,61,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,
"Thiamin",mg,0.100,
"Riboflavin",mg,0.120,
"Niacin",mg,1.800,
"Vitamin A, IU",IU,57,
Lipids
"Fatty acids, total saturated",g,0.430,
"Fatty acids, total monounsaturated",g,0.420,
"Fatty acids, total polyunsaturated",g,0.710,
"Cholesterol",mg,40,
Amino Acids
Other
