Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35161, Caribou, shoulder meat, dried (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,33.81,
"Energy",kcal,271,
"Protein",g,59.38,
"Total lipid (fat)",g,3.67,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,14,
"Iron, Fe",mg,11.00,
"Magnesium, Mg",mg,62,
"Phosphorus, P",mg,550,
"Potassium, K",mg,810,
"Sodium, Na",mg,950,
"Zinc, Zn",mg,9.40,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.312,
"Riboflavin",mg,1.300,
"Niacin",mg,14.800,
"Vitamin B-6",mg,0.499,
"Folate, DFE",µg,8,
"Vitamin B-12",µg,15.10,
"Vitamin A, RAE",µg,11,
"Vitamin A, IU",IU,37,
"Vitamin E (alpha-tocopherol)",mg,0.07,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,1.586,
"Fatty acids, total monounsaturated",g,1.201,
"Fatty acids, total polyunsaturated",g,0.370,
"Cholesterol",mg,164,
Amino Acids
Other
"Caffeine",mg,0,
