Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35043, Huckleberries, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,90.70,
"Energy",kcal,37,
"Protein",g,0.40,
"Total lipid (fat)",g,0.10,
"Carbohydrate, by difference",g,8.70,
Minerals
"Calcium, Ca",mg,15,
"Iron, Fe",mg,0.30,
"Sodium, Na",mg,10,
Vitamins
"Vitamin C, total ascorbic acid",mg,2.8,
"Thiamin",mg,0.010,
"Riboflavin",mg,0.030,
"Niacin",mg,0.300,
"Vitamin A, IU",IU,79,
Lipids
Amino Acids
Other
