Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35048, Stew, moose (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,86.10,
"Energy",kcal,55,
"Protein",g,6.60,
"Total lipid (fat)",g,0.50,
"Carbohydrate, by difference",g,6.00,
"Fiber, total dietary",g,0.5,
Minerals
"Calcium, Ca",mg,12,
"Iron, Fe",mg,1.52,
"Magnesium, Mg",mg,6,
"Phosphorus, P",mg,16,
"Potassium, K",mg,100,
"Sodium, Na",mg,222,
"Zinc, Zn",mg,0.12,
Vitamins
"Vitamin C, total ascorbic acid",mg,1.0,
"Thiamin",mg,0.060,
"Riboflavin",mg,0.080,
"Niacin",mg,1.500,
"Vitamin B-6",mg,0.030,
"Vitamin A, IU",IU,1043,
Lipids
"Fatty acids, total saturated",g,0.010,
"Fatty acids, total monounsaturated",g,0.010,
"Fatty acids, total polyunsaturated",g,0.020,
Amino Acids
Other
