Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35138, Squash, Indian, raw (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,93.35,
"Energy",kcal,26,
"Protein",g,0.52,
"Total lipid (fat)",g,0.20,
"Carbohydrate, by difference",g,5.64,
"Sugars, total",g,3.54,
Minerals
"Calcium, Ca",mg,9,
"Iron, Fe",mg,0.17,
"Magnesium, Mg",mg,10,
"Phosphorus, P",mg,12,
"Potassium, K",mg,205,
"Sodium, Na",mg,20,
"Zinc, Zn",mg,0.07,
Vitamins
"Vitamin C, total ascorbic acid",mg,4.5,
"Thiamin",mg,0.020,
"Riboflavin",mg,0.020,
"Niacin",mg,0.170,
"Vitamin B-6",mg,0.058,
"Vitamin E (alpha-tocopherol)",mg,0.00,
Lipids
Amino Acids
Other
