Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35056, Seal, bearded (Oogruk), meat, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,69.60,
"Energy",kcal,110,
"Protein",g,26.70,
"Total lipid (fat)",g,0.40,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,10,
"Iron, Fe",mg,12.90,
"Phosphorus, P",mg,198,
Vitamins
"Thiamin",mg,0.200,
"Riboflavin",mg,0.260,
"Niacin",mg,5.900,
"Vitamin A, IU",IU,1400,
Lipids
"Cholesterol",mg,100,
Amino Acids
Other
