Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35131, Cornmeal, blue (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,5.70,
"Energy",kcal,398,
"Protein",g,10.40,
"Total lipid (fat)",g,5.44,
"Carbohydrate, by difference",g,76.93,
"Fiber, total dietary",g,8.7,
"Sugars, total",g,1.81,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,2.91,
"Magnesium, Mg",mg,133,
"Phosphorus, P",mg,354,
"Potassium, K",mg,393,
"Sodium, Na",mg,7,
"Zinc, Zn",mg,2.91,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.285,
"Riboflavin",mg,0.107,
"Niacin",mg,2.020,
"Vitamin B-6",mg,0.593,
"Vitamin E (alpha-tocopherol)",mg,0.73,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.886,
"Fatty acids, total monounsaturated",g,1.679,
"Fatty acids, total polyunsaturated",g,2.465,
Amino Acids
Other
