Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35081, Walrus, meat, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,65.10,
"Energy",kcal,199,
"Protein",g,19.20,
"Total lipid (fat)",g,13.60,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,18,
"Iron, Fe",mg,9.40,
"Phosphorus, P",mg,122,
Vitamins
"Thiamin",mg,0.180,
"Riboflavin",mg,0.240,
"Niacin",mg,4.800,
"Vitamin A, IU",IU,170,
Lipids
"Fatty acids, total saturated",g,2.570,
"Fatty acids, total monounsaturated",g,8.420,
"Fatty acids, total polyunsaturated",g,2.600,
"Cholesterol",mg,80,
Amino Acids
Other
