Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35132, Melon, banana (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,94.66,
"Energy",kcal,21,
"Protein",g,0.84,
"Total lipid (fat)",g,0.20,
"Carbohydrate, by difference",g,4.06,
"Fiber, total dietary",g,0.3,
"Sugars, total",g,3.36,
Minerals
"Calcium, Ca",mg,13,
"Iron, Fe",mg,0.21,
"Magnesium, Mg",mg,10,
"Phosphorus, P",mg,9,
"Potassium, K",mg,140,
"Sodium, Na",mg,11,
"Zinc, Zn",mg,0.14,
Vitamins
"Vitamin C, total ascorbic acid",mg,8.1,
"Thiamin",mg,0.020,
"Riboflavin",mg,0.018,
"Niacin",mg,0.460,
"Vitamin B-6",mg,0.050,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin K (phylloquinone)",µg,4.9,
Lipids
Amino Acids
Other
