Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35078, Tea, tundra, herb and laborador combination (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,99.70,
"Energy",kcal,1,
"Protein",g,0.00,
"Total lipid (fat)",g,0.00,
"Carbohydrate, by difference",g,0.20,
Minerals
"Calcium, Ca",mg,2,
"Iron, Fe",mg,0.08,
"Magnesium, Mg",mg,1,
"Phosphorus, P",mg,0,
"Potassium, K",mg,9,
"Sodium, Na",mg,132,
"Zinc, Zn",mg,0.04,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,
"Thiamin",mg,0.010,
"Riboflavin",mg,0.000,
"Niacin",mg,0.000,
"Vitamin B-6",mg,0.000,
"Vitamin B-12",µg,0.00,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.000,
"Fatty acids, total monounsaturated",g,0.000,
"Fatty acids, total polyunsaturated",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
