Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35130, Mush, blue corn with ash (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,86.67,
"Energy",kcal,54,
"Protein",g,0.66,
"Total lipid (fat)",g,0.49,
"Carbohydrate, by difference",g,11.74,
"Fiber, total dietary",g,1.1,
"Sugars, total",g,0.19,
Minerals
"Calcium, Ca",mg,96,
"Iron, Fe",mg,2.92,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,39,
"Potassium, K",mg,58,
"Sodium, Na",mg,8,
"Zinc, Zn",mg,0.76,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.020,
"Riboflavin",mg,0.015,
"Niacin",mg,0.283,
"Vitamin B-6",mg,0.049,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.074,
"Fatty acids, total monounsaturated",g,0.109,
"Fatty acids, total polyunsaturated",g,0.208,
Amino Acids
Other
Footnotes
(a)"Serving weight is based on limited samples and may vary widely."
