Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35173, Elk, free range, ground, raw (Shoshone Bannock)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,75.68,
"Energy",kcal,97,
"Protein",g,20.14,
"Total lipid (fat)",g,1.80,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,4,
"Iron, Fe",mg,7.17,
"Magnesium, Mg",mg,22,
"Phosphorus, P",mg,196,
"Potassium, K",mg,328,
"Sodium, Na",mg,49,
"Zinc, Zn",mg,5.82,
Vitamins
"Thiamin",mg,0.180,
"Riboflavin",mg,0.309,
"Niacin",mg,5.970,
"Vitamin B-6",mg,0.630,
"Vitamin B-12",µg,3.45,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.706,
"Fatty acids, total monounsaturated",g,0.574,
"Fatty acids, total polyunsaturated",g,0.130,
"Fatty acids, total trans",g,0.039,
Amino Acids
Other
"Caffeine",mg,0,
