Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35014, Oil, beluga, whale (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,0.00,
"Energy",kcal,900,
"Protein",g,0.00,
"Total lipid (fat)",g,100.00,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,0,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,0,
"Phosphorus, P",mg,0,
"Potassium, K",mg,0,
"Sodium, Na",mg,0,
"Zinc, Zn",mg,0.00,
Vitamins
"Thiamin",mg,0.000,
"Riboflavin",mg,0.000,
"Niacin",mg,0.000,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,694,
"Vitamin A, IU",IU,2310,
"Vitamin E (alpha-tocopherol)",mg,8.27,
"Vitamin D (D2 + D3)",µg,5.7,
"Vitamin D",IU,228,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,14.490,
"Fatty acids, total monounsaturated",g,54.190,
"Fatty acids, total polyunsaturated",g,10.800,
Amino Acids
Other
"Caffeine",mg,0,
