Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35174, Buffalo, free range, top round steak, raw (Shoshone Bannock)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,75.96,
"Energy",kcal,97,
"Protein",g,21.44,
"Total lipid (fat)",g,1.30,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,3,
"Iron, Fe",mg,2.61,
"Magnesium, Mg",mg,22,
"Phosphorus, P",mg,200,
"Potassium, K",mg,355,
"Sodium, Na",mg,43,
"Zinc, Zn",mg,3.00,
Vitamins
"Thiamin",mg,0.153,
"Riboflavin",mg,0.325,
"Niacin",mg,6.920,
"Vitamin B-6",mg,0.780,
"Vitamin B-12",µg,1.15,
Lipids
"Fatty acids, total saturated",g,0.418,
"Fatty acids, total monounsaturated",g,0.425,
"Fatty acids, total polyunsaturated",g,0.098,
"Fatty acids, total trans",g,0.065,
Amino Acids
Other
