Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:55 EST
"Nutrient data for: 17451, Lamb, Australian, imported, fresh, seam fat, cooked"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,29.25,
"Energy",kcal,554,
"Protein",g,13.81,
"Total lipid (fat)",g,54.72,
"Carbohydrate, by difference",g,1.55,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,8,
"Iron, Fe",mg,1.39,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,112,
"Potassium, K",mg,164,
"Sodium, Na",mg,53,
"Zinc, Zn",mg,1.80,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.069,
"Riboflavin",mg,0.200,
"Niacin",mg,3.610,
"Vitamin B-6",mg,0.233,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,28.619,
"Fatty acids, total monounsaturated",g,21.229,
"Fatty acids, total polyunsaturated",g,3.324,
"Fatty acids, total trans",g,4.438,
"Cholesterol",mg,110,
Amino Acids
Other
"Caffeine",mg,0,
