Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:07 EST
"Nutrient data for: 17431, Veal, external fat only, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,38.19,
"Energy",kcal,503,
"Protein",g,8.85,
"Total lipid (fat)",g,51.60,
"Carbohydrate, by difference",g,0.89,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,31,
"Iron, Fe",mg,0.73,
"Magnesium, Mg",mg,19,
"Phosphorus, P",mg,133,
"Potassium, K",mg,107,
"Sodium, Na",mg,89,
"Zinc, Zn",mg,0.83,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.035,
"Riboflavin",mg,0.090,
"Niacin",mg,2.780,
"Vitamin B-6",mg,0.154,
"Folate, DFE",µg,0,
"Vitamin B-12",µg,1.35,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.30,
"Vitamin D (D2 + D3)",µg,5.5,
"Vitamin D",IU,220,
"Vitamin K (phylloquinone)",µg,2.8,
Lipids
"Fatty acids, total saturated",g,19.082,
"Fatty acids, total monounsaturated",g,24.815,
"Fatty acids, total polyunsaturated",g,1.631,
"Fatty acids, total trans",g,2.243,
"Cholesterol",mg,86,
Amino Acids
Other
"Caffeine",mg,0,
