Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:08 EST
"Nutrient data for: 17434, Veal, seam fat only, cooked"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,35.99,
"Energy",kcal,505,
"Protein",g,11.16,
"Total lipid (fat)",g,50.17,
"Carbohydrate, by difference",g,2.11,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,43,
"Iron, Fe",mg,1.15,
"Magnesium, Mg",mg,24,
"Phosphorus, P",mg,152,
"Potassium, K",mg,155,
"Sodium, Na",mg,87,
"Zinc, Zn",mg,2.00,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.047,
"Riboflavin",mg,0.160,
"Niacin",mg,2.840,
"Vitamin B-6",mg,0.203,
"Folate, DFE",µg,0,
"Vitamin B-12",µg,1.62,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.52,
"Vitamin D (D2 + D3)",µg,4.5,
"Vitamin D",IU,181,
"Vitamin K (phylloquinone)",µg,2.4,
Lipids
"Fatty acids, total saturated",g,16.316,
"Fatty acids, total monounsaturated",g,20.589,
"Fatty acids, total polyunsaturated",g,2.972,
"Fatty acids, total trans",g,1.671,
"Cholesterol",mg,82,
Amino Acids
Other
"Caffeine",mg,0,
