Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:46 EST
"Nutrient data for: 18931, USDA Commodity, Bakery, Flour Mix Low-fat"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,10.51,
"Energy",kcal,361,
"Protein",g,9.07,
"Total lipid (fat)",g,4.70,
"Carbohydrate, by difference",g,70.59,
"Fiber, total dietary",g,3.5,
Minerals
"Calcium, Ca",mg,181,
"Iron, Fe",mg,4.11,
"Magnesium, Mg",mg,28,
"Phosphorus, P",mg,633,
"Potassium, K",mg,141,
"Sodium, Na",mg,1360,
"Zinc, Zn",mg,0.68,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.650,
"Riboflavin",mg,0.423,
"Niacin",mg,5.904,
"Vitamin B-6",mg,0.093,
"Folate, DFE",µg,291,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
Lipids
"Fatty acids, total saturated",g,0.850,
"Fatty acids, total monounsaturated",g,1.830,
"Fatty acids, total polyunsaturated",g,0.650,
"Cholesterol",mg,0,
Amino Acids
Other
