Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:43 EST
"Nutrient data for: 18293, Pancakes, plain, prepared from recipe"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 pancake (4"" dia) = 38.0g","1 pancake (6"" dia) = 77.0g",
Proximates
"Water",g,52.90,15.00,20.10,40.73
"Energy",kcal,227,64,86,175
"Protein",g,6.40,1.81,2.43,4.93
"Total lipid (fat)",g,9.70,2.75,3.69,7.47
"Carbohydrate, by difference",g,28.30,8.02,10.75,21.79
Minerals
"Calcium, Ca",mg,219,62,83,169
"Iron, Fe",mg,1.80,0.51,0.68,1.39
"Magnesium, Mg",mg,16,5,6,12
"Phosphorus, P",mg,159,45,60,122
"Potassium, K",mg,132,37,50,102
"Sodium, Na",mg,439,124,167,338
"Zinc, Zn",mg,0.56,0.16,0.21,0.43
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.1,0.1,0.2
"Thiamin",mg,0.201,0.057,0.076,0.155
"Riboflavin",mg,0.281,0.080,0.107,0.216
"Niacin",mg,1.567,0.444,0.595,1.207
"Vitamin B-6",mg,0.046,0.013,0.017,0.035
"Folate, DFE",µg,56,16,21,43
"Vitamin B-12",µg,0.22,0.06,0.08,0.17
"Vitamin A, RAE",µg,54,15,21,42
"Vitamin A, IU",IU,196,56,74,151
Lipids
"Fatty acids, total saturated",g,2.122,0.602,0.806,1.634
"Fatty acids, total monounsaturated",g,2.474,0.701,0.940,1.905
"Fatty acids, total polyunsaturated",g,4.447,1.261,1.690,3.424
"Cholesterol",mg,59,17,22,45
Amino Acids
Other
