Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:30 EST
"Nutrient data for: 18033, Bread, italian"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 slice, large (4-1/2"" x 3-1/4"" x 3/4"") = 30.0g","1 slice, medium = 20.0g","1 slice, small (3-1/4"" x 2-1/2"" x 1/2"") = 10.0g",
Proximates
"Water",g,35.70,10.12,10.71,7.14,3.57
"Energy",kcal,271,77,81,54,27
"Protein",g,8.80,2.49,2.64,1.76,0.88
"Total lipid (fat)",g,3.50,0.99,1.05,0.70,0.35
"Carbohydrate, by difference",g,50.10,14.20,15.03,10.02,5.01
"Fiber, total dietary",g,3.2,0.9,1.0,0.6,0.3
"Sugars, total",g,3.17,0.90,0.95,0.63,0.32
Minerals
"Calcium, Ca",mg,78,22,23,16,8
"Iron, Fe",mg,2.94,0.83,0.88,0.59,0.29
"Magnesium, Mg",mg,27,8,8,5,3
"Phosphorus, P",mg,103,29,31,21,10
"Potassium, K",mg,110,31,33,22,11
"Sodium, Na",mg,550,156,165,110,55
"Zinc, Zn",mg,0.86,0.24,0.26,0.17,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.473,0.134,0.142,0.095,0.047
"Riboflavin",mg,0.292,0.083,0.088,0.058,0.029
"Niacin",mg,4.381,1.242,1.314,0.876,0.438
"Vitamin B-6",mg,0.048,0.014,0.014,0.010,0.005
"Folate, DFE",µg,304,86,91,61,30
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,1,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.29,0.08,0.09,0.06,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.2,0.3,0.4,0.2,0.1
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.812,0.230,0.244,0.162,0.081
"Fatty acids, total polyunsaturated",g,1.390,0.394,0.417,0.278,0.139
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
