Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:37 EST
"Nutrient data for: 18255, Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 doughnut hole = 13.0g","1 doughnut stick = 56.0g","1 extra large (approx 5"" dia) = 122.0g","1 jumbo (approx 6"" dia) = 157.0g","1 doughnut, large (approx 4-1/4"" dia) = 75.0g","1 doughnut, long type (twist) approx 5-1/4"" x 2-1/2"" x 1-1/2"" high) = 90.0g","1 doughnut medium (approx 3-3/4"" dia) = 64.0g","1 doughnut, small (approx 3"" dia) = 31.0g","1 doughnut (approx 1-1/2 oz) = 42.0g","1 doughnut (3-3/4"" dia) = 60.0g","1 honeybun (4"" x 3"") = 65.0g","1 honeybun (4-1/2"" x 3-1/2"") = 78.0g","1 honeybun (5"" x 3-1/2"") = 85.0g","1 doughnut, medium (approx 3-3/4"" dia) = 60.0g","1 doughnut = 63.0g",
Proximates
"Vitamin K (phylloquinone)",µg,11.5,3.3,1.5,6.4,14.0,18.1,8.6,10.3,7.4,3.6,4.8,6.9,7.5,9.0,9.8,6.9,7.2
Lipids
"Fatty acids, total saturated",g,9.453,2.680,1.229,5.294,11.533,14.841,7.090,8.508,6.050,2.930,3.970,5.672,6.144,7.373,8.035,5.672,5.955
"Fatty acids, total monounsaturated",g,7.248,2.055,0.942,4.059,8.843,11.379,5.436,6.523,4.639,2.247,3.044,4.349,4.711,5.653,6.161,4.349,4.566
"Fatty acids, total polyunsaturated",g,3.588,1.017,0.466,2.009,4.377,5.633,2.691,3.229,2.296,1.112,1.507,2.153,2.332,2.799,3.050,2.153,2.260
"Fatty acids, total trans",g,0.455,0.129,0.059,0.255,0.555,0.714,0.341,0.410,0.291,0.141,0.191,0.273,0.296,0.355,0.387,0.273,0.287
"Cholesterol",mg,30,9,4,17,37,47,22,27,19,9,13,18,20,23,26,18,19
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
