Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:46 EST
"Nutrient data for: 18930, USDA Commodity, Bakery, Flour Mix"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,10.62,
"Energy",kcal,400,
"Protein",g,8.47,
"Total lipid (fat)",g,12.90,
"Carbohydrate, by difference",g,62.53,
"Fiber, total dietary",g,7.1,
Minerals
"Calcium, Ca",mg,187,
"Iron, Fe",mg,4.11,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,630,
"Potassium, K",mg,124,
"Sodium, Na",mg,1410,
"Zinc, Zn",mg,0.55,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.597,
"Riboflavin",mg,0.857,
"Niacin",mg,5.904,
"Vitamin B-6",mg,0.080,
"Folate, DFE",µg,291,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin K (phylloquinone)",µg,7.9,
Lipids
"Fatty acids, total saturated",g,3.090,
"Fatty acids, total monounsaturated",g,6.790,
"Fatty acids, total polyunsaturated",g,1.960,
"Cholesterol",mg,0,
Amino Acids
Other
