Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:42 EST
"Nutrient data for: 18279, Muffins, corn, commercially prepared"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 mini = 17.0g","1 small = 66.0g","1 medium = 113.0g","1 large = 139.0g","1 extra large = 168.0g",
Proximates
"Water",g,32.60,9.24,5.54,21.52,36.84,45.31,54.77
"Energy",kcal,305,86,52,201,345,424,512
"Protein",g,5.90,1.67,1.00,3.89,6.67,8.20,9.91
"Total lipid (fat)",g,8.40,2.38,1.43,5.54,9.49,11.68,14.11
"Carbohydrate, by difference",g,51.00,14.46,8.67,33.66,57.63,70.89,85.68
"Fiber, total dietary",g,3.4,1.0,0.6,2.2,3.8,4.7,5.7
"Sugars, total",g,17.78,5.04,3.02,11.73,20.09,24.71,29.87
Minerals
"Calcium, Ca",mg,74,21,13,49,84,103,124
"Iron, Fe",mg,2.81,0.80,0.48,1.85,3.18,3.91,4.72
"Magnesium, Mg",mg,32,9,5,21,36,44,54
"Phosphorus, P",mg,284,81,48,187,321,395,477
"Potassium, K",mg,69,20,12,46,78,96,116
"Sodium, Na",mg,467,132,79,308,528,649,785
"Zinc, Zn",mg,0.54,0.15,0.09,0.36,0.61,0.75,0.91
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.273,0.077,0.046,0.180,0.308,0.379,0.459
"Riboflavin",mg,0.326,0.092,0.055,0.215,0.368,0.453,0.548
"Niacin",mg,2.037,0.577,0.346,1.344,2.302,2.831,3.422
"Vitamin B-6",mg,0.084,0.024,0.014,0.055,0.095,0.117,0.141
"Folate, DFE",µg,82,23,14,54,93,114,138
"Vitamin B-12",µg,0.09,0.03,0.02,0.06,0.10,0.13,0.15
"Vitamin A, RAE",µg,52,15,9,34,59,72,87
"Vitamin A, IU",IU,208,59,35,137,235,289,349
"Vitamin E (alpha-tocopherol)",mg,0.80,0.23,0.14,0.53,0.90,1.11,1.34
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,2.3,0.7,0.4,1.5,2.6,3.2,3.9
Lipids
"Fatty acids, total saturated",g,1.354,0.384,0.230,0.894,1.530,1.882,2.275
"Fatty acids, total monounsaturated",g,2.104,0.596,0.358,1.389,2.378,2.925,3.535
"Fatty acids, total polyunsaturated",g,3.215,0.911,0.547,2.122,3.633,4.469,5.401
"Cholesterol",mg,26,7,4,17,29,36,44
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
