Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:33 EST
"Nutrient data for: 18159, Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched"
Nutrient,Unit,1Value per 100 g,"1 cookie = 12.9g","1 cookie Pepperidge Farm Chocolate Chunk Pecan = 12.0g","1 oz = 28.35g","1 cookie (average weight of 1 cookie, variety of brands) = 12.2g","1 cookie Pepperidge Farm Chocolate Chunk Pecan = 12.0g","1 cookie, big (3-1/2"" - 4"" dia) (include Grandma brand) = 40.0g","1 cookie, medium (2-1/4"" dia) = 10.0g","1 cookie, large (include Keebler Rich 'n Chips, Pecan Chips Delux) = 14.0g","1 cookie, bite size (include Mini Chips Ahoy!) = 2.2g",
Proximates
"Water",g,3.57,0.46,0.43,1.01,0.44,0.43,1.43,0.36,0.50,0.08
"Energy",kcal,492,63,59,139,60,59,197,49,69,11
"Protein",g,5.10,0.66,0.61,1.45,0.62,0.61,2.04,0.51,0.71,0.11
"Total lipid (fat)",g,24.72,3.19,2.97,7.01,3.02,2.97,9.89,2.47,3.46,0.54
"Carbohydrate, by difference",g,65.36,8.43,7.84,18.53,7.97,7.84,26.14,6.54,9.15,1.44
"Fiber, total dietary",g,2.0,0.3,0.2,0.6,0.2,0.2,0.8,0.2,0.3,0.0
"Sugars, total",g,32.90,4.24,3.95,9.33,4.01,3.95,13.16,3.29,4.61,0.72
Minerals
"Calcium, Ca",mg,21,3,3,6,3,3,8,2,3,0
"Iron, Fe",mg,5.58,0.72,0.67,1.58,0.68,0.67,2.23,0.56,0.78,0.12
"Magnesium, Mg",mg,41,5,5,12,5,5,16,4,6,1
"Phosphorus, P",mg,109,14,13,31,13,13,44,11,15,2
"Potassium, K",mg,171,22,21,48,21,21,68,17,24,4
"Sodium, Na",mg,311,40,37,88,38,37,124,31,44,7
"Zinc, Zn",mg,0.72,0.09,0.09,0.20,0.09,0.09,0.29,0.07,0.10,0.02
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.292,0.038,0.035,0.083,0.036,0.035,0.117,0.029,0.041,0.006
"Riboflavin",mg,0.297,0.038,0.036,0.084,0.036,0.036,0.119,0.030,0.042,0.007
"Niacin",mg,2.665,0.344,0.320,0.756,0.325,0.320,1.066,0.266,0.373,0.059
"Vitamin B-6",mg,0.058,0.007,0.007,0.016,0.007,0.007,0.023,0.006,0.008,0.001
"Folate, DFE",µg,92,12,11,26,11,11,37,9,13,2
"Vitamin B-12",µg,0.03,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0,0,0,0,0,0
"Vitamin A, IU",IU,1,0,0,0,0,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,2.01,0.26,0.24,0.57,0.25,0.24,0.80,0.20,0.28,0.04
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,33.7,4.3,4.0,9.6,4.1,4.0,13.5,3.4,4.7,0.7
Lipids
"Fatty acids, total saturated",g,8.091,1.044,0.971,2.294,0.987,0.971,3.236,0.809,1.133,0.178
"Fatty acids, total monounsaturated",g,6.272,0.809,0.753,1.778,0.765,0.753,2.509,0.627,0.878,0.138
"Fatty acids, total polyunsaturated",g,8.417,1.086,1.010,2.386,1.027,1.010,3.367,0.842,1.178,0.185
"Fatty acids, total trans",g,0.684,0.088,0.082,0.194,0.083,0.082,0.274,0.068,0.096,0.015
"Cholesterol",mg,0,0,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,11,1,1,3,1,1,4,1,2,0
