Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:37 EST
"Nutrient data for: 18431, Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 container (3 oz) = 142.0g","1 small or frozen (approx 3"" dia) = 35.0g","1 pastry (4-1/4"" dia) = 71.0g","1 Toaster Strudel = 53.0g","1 piece (1/8 of 15 oz ring) = 53.0g",
Proximates
"Water",g,27.10,7.68,38.48,9.48,19.24,14.36,14.36
"Energy",kcal,371,105,527,130,263,197,197
"Protein",g,5.40,1.53,7.67,1.89,3.83,2.86,2.86
"Total lipid (fat)",g,18.50,5.24,26.27,6.47,13.13,9.80,9.80
"Carbohydrate, by difference",g,47.80,13.55,67.88,16.73,33.94,25.33,25.33
"Fiber, total dietary",g,1.9,0.5,2.7,0.7,1.3,1.0,1.0
Minerals
"Calcium, Ca",mg,46,13,65,16,33,24,24
"Iron, Fe",mg,0.75,0.21,1.06,0.26,0.53,0.40,0.40
"Magnesium, Mg",mg,15,4,21,5,11,8,8
"Phosphorus, P",mg,89,25,126,31,63,47,47
"Potassium, K",mg,83,24,118,29,59,44,44
"Sodium, Na",mg,354,100,503,124,251,188,188
"Zinc, Zn",mg,0.54,0.15,0.77,0.19,0.38,0.29,0.29
Vitamins
"Vitamin C, total ascorbic acid",mg,3.9,1.1,5.5,1.4,2.8,2.1,2.1
"Thiamin",mg,0.065,0.018,0.092,0.023,0.046,0.034,0.034
"Riboflavin",mg,0.092,0.026,0.131,0.032,0.065,0.049,0.049
"Niacin",mg,0.769,0.218,1.092,0.269,0.546,0.408,0.408
"Vitamin B-6",mg,0.040,0.011,0.057,0.014,0.028,0.021,0.021
"Folate, DFE",µg,16,5,23,6,11,8,8
"Vitamin B-12",µg,0.13,0.04,0.18,0.05,0.09,0.07,0.07
"Vitamin A, RAE",µg,22,6,31,8,16,12,12
"Vitamin A, IU",IU,74,21,105,26,53,39,39
Lipids
"Fatty acids, total saturated",g,2.826,0.801,4.013,0.989,2.006,1.498,1.498
"Fatty acids, total monounsaturated",g,5.937,1.683,8.431,2.078,4.215,3.147,3.147
"Fatty acids, total polyunsaturated",g,1.508,0.428,2.141,0.528,1.071,0.799,0.799
"Cholesterol",mg,40,11,57,14,28,21,21
Amino Acids
Other
