Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:38 EST
"Nutrient data for: 21227, Pizza, meat and vegetable topping, rising crust, frozen, cooked"
Nutrient,Unit,1Value per 100 g,"1 serving 6 servings per 34.98 oz package = 170.0g","1 serving 6 servings per 30.7 oz package = 149.0g","1 serving 3 servings per 14.3 oz package = 138.0g","1 package 34.98 oz pizza = 1020.0g","1 package 30.7 oz pizza = 891.0g","1 package 14.3 oz pizza = 415.0g",
Proximates
"Water",g,44.24,75.21,65.92,61.05,451.25,394.18,183.60
"Energy",kcal,271,461,404,374,2764,2415,1125
"Protein",g,12.63,21.47,18.82,17.43,128.83,112.53,52.41
"Total lipid (fat)",g,11.75,19.98,17.51,16.21,119.85,104.69,48.76
"Carbohydrate, by difference",g,28.78,48.93,42.88,39.72,293.56,256.43,119.44
"Fiber, total dietary",g,2.3,3.9,3.4,3.2,23.5,20.5,9.5
"Sugars, total",g,7.26,12.34,10.82,10.02,74.05,64.69,30.13
Minerals
"Calcium, Ca",mg,155,264,231,214,1581,1381,643
"Iron, Fe",mg,1.36,2.31,2.03,1.88,13.87,12.12,5.64
"Magnesium, Mg",mg,27,46,40,37,275,241,112
"Phosphorus, P",mg,211,359,314,291,2152,1880,876
"Potassium, K",mg,189,321,282,261,1928,1684,784
"Sodium, Na",mg,640,1088,954,883,6528,5702,2656
"Zinc, Zn",mg,1.87,3.18,2.79,2.58,19.07,16.66,7.76
Vitamins
"Vitamin C, total ascorbic acid",mg,4.2,7.1,6.3,5.8,42.8,37.4,17.4
"Thiamin",mg,0.250,0.425,0.372,0.345,2.550,2.228,1.038
"Riboflavin",mg,0.206,0.350,0.307,0.284,2.101,1.835,0.855
"Niacin",mg,2.155,3.663,3.211,2.974,21.981,19.201,8.943
"Vitamin B-6",mg,0.140,0.238,0.209,0.193,1.428,1.247,0.581
"Folate, DFE",µg,98,167,146,135,1000,873,407
"Vitamin B-12",µg,0.80,1.36,1.19,1.10,8.16,7.13,3.32
"Vitamin A, RAE",µg,68,116,101,94,694,606,282
"Vitamin A, IU",IU,355,604,529,490,3621,3163,1473
"Vitamin E (alpha-tocopherol)",mg,0.92,1.56,1.37,1.27,9.38,8.20,3.82
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,6.7,11.4,10.0,9.2,68.3,59.7,27.8
Lipids
"Fatty acids, total saturated",g,4.586,7.796,6.833,6.329,46.777,40.861,19.032
"Fatty acids, total monounsaturated",g,4.343,7.383,6.471,5.993,44.299,38.696,18.023
"Fatty acids, total polyunsaturated",g,1.890,3.213,2.816,2.608,19.278,16.840,7.843
"Cholesterol",mg,19,32,28,26,194,169,79
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
