Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:55 EST
"Nutrient data for: 25070, Snacks, shrimp cracker"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,13.60,
"Energy",kcal,426,
"Protein",g,7.14,
"Total lipid (fat)",g,17.86,
"Carbohydrate, by difference",g,59.09,
"Fiber, total dietary",g,5.6,
"Sugars, total",g,21.43,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,1.91,
"Magnesium, Mg",mg,72,
"Phosphorus, P",mg,191,
"Potassium, K",mg,193,
"Sodium, Na",mg,571,
"Zinc, Zn",mg,1.38,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.264,
"Riboflavin",mg,0.091,
"Niacin",mg,2.631,
"Vitamin B-6",mg,0.216,
"Folate, DFE",µg,23,
"Vitamin B-12",µg,0.02,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,3.28,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,12.8,
Lipids
"Fatty acids, total saturated",g,5.357,
"Fatty acids, total monounsaturated",g,7.997,
"Fatty acids, total polyunsaturated",g,3.971,
"Fatty acids, total trans",g,0.066,
"Cholesterol",mg,2,
Amino Acids
Other
"Caffeine",mg,0,
