Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:37 EST
"Nutrient data for: 19161, Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars"
Nutrient,Unit,1Value per 100 g,"1 package (1.89 oz, 2 bars) = 54.0g","1 package (2.06 oz, 2 bars) = 58.0g","1 package (1.77 oz) = 50.0g","1 package (9.43 oz) = 267.0g",
Proximates
"Water",g,1.82,0.98,1.06,0.91,4.86
"Energy",kcal,536,289,311,268,1431
"Protein",g,9.18,4.96,5.32,4.59,24.51
"Total lipid (fat)",g,32.67,17.64,18.95,16.34,87.23
"Carbohydrate, by difference",g,54.15,29.24,31.41,27.07,144.58
"Fiber, total dietary",g,3.1,1.7,1.8,1.6,8.3
"Sugars, total",g,36.13,19.51,20.96,18.07,96.47
Minerals
"Calcium, Ca",mg,75,40,44,38,200
"Iron, Fe",mg,1.32,0.71,0.77,0.66,3.52
"Magnesium, Mg",mg,61,33,35,30,163
"Phosphorus, P",mg,173,93,100,86,462
"Potassium, K",mg,264,143,153,132,705
"Sodium, Na",mg,226,122,131,113,603
"Zinc, Zn",mg,1.61,0.87,0.93,0.81,4.30
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.2,0.2,0.1,0.8
"Thiamin",mg,0.098,0.053,0.057,0.049,0.262
"Riboflavin",mg,0.145,0.078,0.084,0.072,0.387
"Niacin",mg,2.379,1.285,1.380,1.190,6.352
"Vitamin B-6",mg,0.114,0.062,0.066,0.057,0.304
"Folate, DFE",µg,15,8,9,8,40
"Vitamin B-12",µg,0.26,0.14,0.15,0.13,0.69
"Vitamin A, RAE",µg,20,11,12,10,53
"Vitamin A, IU",IU,68,37,39,34,182
"Vitamin E (alpha-tocopherol)",mg,3.42,1.85,1.98,1.71,9.13
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,6.0,3.2,3.5,3.0,16.0
Lipids
"Fatty acids, total saturated",g,15.758,8.509,9.140,7.879,42.074
"Fatty acids, total monounsaturated",g,12.317,6.651,7.144,6.159,32.886
"Fatty acids, total polyunsaturated",g,3.407,1.840,1.976,1.704,9.097
"Fatty acids, total trans",g,0.505,0.273,0.293,0.253,1.348
"Cholesterol",mg,6,3,3,3,16
Amino Acids
Other
"Caffeine",mg,7,4,4,4,19
