Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:49 EST
"Nutrient data for: 19213, Rennin, chocolate, dry mix, prepared with 2% milk"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.39,
"Energy",kcal,85,
"Protein",g,3.24,
"Total lipid (fat)",g,2.06,
"Carbohydrate, by difference",g,13.47,
"Fiber, total dietary",g,0.5,
Minerals
"Calcium, Ca",mg,126,
"Iron, Fe",mg,0.30,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,98,
"Potassium, K",mg,182,
"Sodium, Na",mg,52,
"Zinc, Zn",mg,0.51,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.9,
"Thiamin",mg,0.037,
"Riboflavin",mg,0.155,
"Niacin",mg,0.108,
"Vitamin B-6",mg,0.042,
"Folate, DFE",µg,5,
"Vitamin B-12",µg,0.33,
"Vitamin A, RAE",µg,50,
"Vitamin A, IU",IU,170,
"Vitamin D (D2 + D3)",µg,0.9,
"Vitamin D",IU,36,
Lipids
"Fatty acids, total saturated",g,1.231,
"Fatty acids, total monounsaturated",g,0.581,
"Fatty acids, total polyunsaturated",g,0.073,
"Cholesterol",mg,7,
Amino Acids
Other
"Caffeine",mg,1,
