Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:37 EST
"Nutrient data for: 19069, Candies, NESTLE, BUTTERFINGER Bar"
Nutrient,Unit,1Value per 100 g,"1 serving 2.1 oz bar = 60.0g","1 serving 1 fun size bar 0.65 oz = 18.0g","1 serving 0.75 oz bar = 21.0g","1 bar bite size = 7.0g","1 bar king size = 108.0g","10.0 Butterfinger BB's = 26.0g","2.0 tbsp = 25.0g","1 cup BB's = 174.0g",
Proximates
"Water",g,1.23,0.74,0.22,0.26,0.09,1.33,0.32,0.31,2.14
"Energy",kcal,459,275,83,96,32,496,119,115,799
"Protein",g,5.40,3.24,0.97,1.13,0.38,5.83,1.40,1.35,9.40
"Total lipid (fat)",g,18.90,11.34,3.40,3.97,1.32,20.41,4.91,4.72,32.89
"Carbohydrate, by difference",g,72.90,43.74,13.12,15.31,5.10,78.73,18.95,18.23,126.85
"Fiber, total dietary",g,2.0,1.2,0.4,0.4,0.1,2.2,0.5,0.5,3.5
"Sugars, total",g,45.90,27.54,8.26,9.64,3.21,49.57,11.93,11.47,79.87
Minerals
"Calcium, Ca",mg,36,22,6,8,3,39,9,9,63
"Iron, Fe",mg,0.79,0.47,0.14,0.17,0.06,0.85,0.21,0.20,1.37
"Magnesium, Mg",mg,48,29,9,10,3,52,12,12,84
"Phosphorus, P",mg,97,58,17,20,7,105,25,24,169
"Potassium, K",mg,220,132,40,46,15,238,57,55,383
"Sodium, Na",mg,230,138,41,48,16,248,60,58,400
"Zinc, Zn",mg,1.00,0.60,0.18,0.21,0.07,1.08,0.26,0.25,1.74
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.121,0.073,0.022,0.025,0.008,0.131,0.031,0.030,0.211
"Riboflavin",mg,0.062,0.037,0.011,0.013,0.004,0.067,0.016,0.015,0.108
"Niacin",mg,2.649,1.589,0.477,0.556,0.185,2.861,0.689,0.662,4.609
"Vitamin B-6",mg,0.069,0.041,0.012,0.014,0.005,0.075,0.018,0.017,0.120
"Folate, DFE",µg,28,17,5,6,2,30,7,7,49
"Vitamin B-12",µg,0.04,0.02,0.01,0.01,0.00,0.04,0.01,0.01,0.07
"Vitamin A, RAE",µg,0,0,0,0,0,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,1.72,1.03,0.31,0.36,0.12,1.86,0.45,0.43,2.99
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,2.2,1.3,0.4,0.5,0.2,2.4,0.6,0.6,3.8
Lipids
"Fatty acids, total saturated",g,9.500,5.700,1.710,1.995,0.665,10.260,2.470,2.375,16.530
"Fatty acids, total monounsaturated",g,5.119,3.071,0.921,1.075,0.358,5.529,1.331,1.280,8.907
"Fatty acids, total polyunsaturated",g,3.164,1.898,0.570,0.664,0.221,3.417,0.823,0.791,5.505
"Fatty acids, total trans",g,0.040,0.024,0.007,0.008,0.003,0.043,0.010,0.010,0.070
"Cholesterol",mg,0,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,1,1,0,0,0,1,0,0,2
