Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:34 EST
"Nutrient data for: 18175, Cookies, ladyfingers, with lemon juice and rind"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 anisette sponge (4"" x 1-1/8"" x 7/8"") = 13.0g","1 breakfast treat (approx 4"" x 2"" x 7/8"") = 24.0g","1 ladyfinger = 11.0g",
Proximates
"Water",g,19.50,5.53,2.54,4.68,2.15
"Energy",kcal,365,103,47,88,40
"Protein",g,10.60,3.01,1.38,2.54,1.17
"Total lipid (fat)",g,9.10,2.58,1.18,2.18,1.00
"Carbohydrate, by difference",g,59.70,16.92,7.76,14.33,6.57
"Fiber, total dietary",g,1.0,0.3,0.1,0.2,0.1
"Sugars, total",g,25.39,7.20,3.30,6.09,2.79
Minerals
"Calcium, Ca",mg,47,13,6,11,5
"Iron, Fe",mg,3.58,1.01,0.47,0.86,0.39
"Magnesium, Mg",mg,12,3,2,3,1
"Phosphorus, P",mg,173,49,22,42,19
"Potassium, K",mg,113,32,15,27,12
"Sodium, Na",mg,147,42,19,35,16
"Zinc, Zn",mg,1.14,0.32,0.15,0.27,0.13
Vitamins
"Vitamin C, total ascorbic acid",mg,3.7,1.0,0.5,0.9,0.4
"Thiamin",mg,0.284,0.081,0.037,0.068,0.031
"Riboflavin",mg,0.428,0.121,0.056,0.103,0.047
"Niacin",mg,2.104,0.596,0.274,0.505,0.231
"Vitamin B-6",mg,0.122,0.035,0.016,0.029,0.013
"Folate, DFE",µg,76,22,10,18,8
"Vitamin B-12",µg,0.75,0.21,0.10,0.18,0.08
"Vitamin A, RAE",µg,3,1,0,1,0
"Vitamin A, IU",IU,50,14,6,12,6
"Vitamin E (alpha-tocopherol)",mg,0.63,0.18,0.08,0.15,0.07
"Vitamin D (D2 + D3)",µg,0.6,0.2,0.1,0.1,0.1
"Vitamin D",IU,22,6,3,5,2
"Vitamin K (phylloquinone)",µg,0.2,0.1,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,3.069,0.870,0.399,0.737,0.338
"Fatty acids, total monounsaturated",g,3.754,1.064,0.488,0.901,0.413
"Fatty acids, total polyunsaturated",g,1.422,0.403,0.185,0.341,0.156
"Cholesterol",mg,221,63,29,53,24
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
