Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:29 EST
"Nutrient data for: 18006, Bagels, cinnamon-raisin, toasted"
Nutrient,Unit,1Value per 100 g,"1 mini bagel (2-1/2"" dia) = 24.0g","1 small bagel (3-1/2"" to 4""dia) = 65.0g","1 medium bagel (4"" dia) = 99.0g","1 large bagel (4-1/2"" dia) = 123.0g","1 oz = 28.35g",
Proximates
"Water",g,26.90,6.46,17.48,26.63,33.09,7.63
"Energy",kcal,294,71,191,291,362,83
"Protein",g,10.60,2.54,6.89,10.49,13.04,3.01
"Total lipid (fat)",g,1.80,0.43,1.17,1.78,2.21,0.51
"Carbohydrate, by difference",g,59.30,14.23,38.55,58.71,72.94,16.81
"Fiber, total dietary",g,2.5,0.6,1.6,2.5,3.1,0.7
"Sugars, total",g,6.43,1.54,4.18,6.37,7.91,1.82
Minerals
"Calcium, Ca",mg,20,5,13,20,25,6
"Iron, Fe",mg,4.09,0.98,2.66,4.05,5.03,1.16
"Magnesium, Mg",mg,23,6,15,23,28,7
"Phosphorus, P",mg,83,20,54,82,102,24
"Potassium, K",mg,163,39,106,161,200,46
"Sodium, Na",mg,370,89,240,366,455,105
"Zinc, Zn",mg,0.81,0.19,0.53,0.80,1.00,0.23
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,0.1,0.4,0.6,0.7,0.2
"Thiamin",mg,0.330,0.079,0.214,0.327,0.406,0.094
"Riboflavin",mg,0.268,0.064,0.174,0.265,0.330,0.076
"Niacin",mg,2.981,0.715,1.938,2.951,3.667,0.845
"Vitamin B-6",mg,0.060,0.014,0.039,0.059,0.074,0.017
"Folate, DFE",µg,162,39,105,160,199,46
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,23,6,15,23,28,7
"Vitamin A, IU",IU,71,17,46,70,87,20
"Vitamin E (alpha-tocopherol)",mg,0.34,0.08,0.22,0.34,0.42,0.10
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.8,0.2,0.5,0.8,1.0,0.2
Lipids
"Fatty acids, total saturated",g,0.295,0.071,0.192,0.292,0.363,0.084
"Fatty acids, total monounsaturated",g,0.188,0.045,0.122,0.186,0.231,0.053
"Fatty acids, total polyunsaturated",g,0.722,0.173,0.469,0.715,0.888,0.205
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
