Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:09 EST
"Nutrient data for: 01305, Milk, chocolate, lowfat, reduced sugar"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,87.09,
"Energy",kcal,54,
"Protein",g,3.43,
"Total lipid (fat)",g,1.04,
"Carbohydrate, by difference",g,7.68,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,7.29,
Minerals
"Calcium, Ca",mg,122,
"Iron, Fe",mg,0.16,
"Magnesium, Mg",mg,13,
"Phosphorus, P",mg,98,
"Potassium, K",mg,168,
"Sodium, Na",mg,66,
"Zinc, Zn",mg,0.46,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.035,
"Riboflavin",mg,0.225,
"Niacin",mg,0.122,
"Vitamin B-6",mg,0.050,
"Folate, DFE",µg,5,
"Vitamin B-12",µg,0.20,
"Vitamin A, RAE",µg,96,
"Vitamin A, IU",IU,319,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin D (D2 + D3)",µg,1.5,
"Vitamin D",IU,60,
"Vitamin K (phylloquinone)",µg,0.1,
Lipids
"Fatty acids, total saturated",g,0.616,
"Fatty acids, total monounsaturated",g,0.290,
"Fatty acids, total polyunsaturated",g,0.054,
"Fatty acids, total trans",g,0.036,
"Cholesterol",mg,5,
Amino Acids
Other
"Caffeine",mg,0,
