Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:21 EST
"Nutrient data for: 04709, Salad dressing, mayonnaise-type, light"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.20,
"Energy",kcal,158,
"Protein",g,0.65,
"Total lipid (fat)",g,10.00,
"Carbohydrate, by difference",g,16.40,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,6.67,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,0.12,
"Magnesium, Mg",mg,2,
"Phosphorus, P",mg,13,
"Potassium, K",mg,36,
"Sodium, Na",mg,833,
"Zinc, Zn",mg,0.07,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.010,
"Riboflavin",mg,0.030,
"Niacin",mg,0.004,
"Vitamin B-6",mg,0.009,
"Folate, DFE",µg,6,
"Vitamin B-12",µg,0.04,
"Vitamin A, RAE",µg,2,
"Vitamin A, IU",IU,13,
"Vitamin E (alpha-tocopherol)",mg,0.72,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,19.5,
Lipids
"Fatty acids, total saturated",g,1.484,
"Fatty acids, total monounsaturated",g,2.335,
"Fatty acids, total polyunsaturated",g,5.638,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
