Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:58 EST
"Nutrient data for: 16587, MORNINGSTAR FARMS Breakfast Sausage Patties Maple Flavored, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,51.60,
"Energy",kcal,222,
"Protein",g,26.30,
"Total lipid (fat)",g,7.20,
"Carbohydrate, by difference",g,13.60,
"Fiber, total dietary",g,2.0,
"Sugars, total",g,5.90,
Minerals
"Calcium, Ca",mg,37,
"Iron, Fe",mg,4.30,
"Phosphorus, P",mg,311,
"Potassium, K",mg,279,
"Sodium, Na",mg,656,
"Zinc, Zn",mg,0.80,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.990,
"Riboflavin",mg,0.300,
"Niacin",mg,9.400,
"Vitamin B-6",mg,0.700,
"Folate, DFE",µg,3,
"Vitamin B-12",µg,6.60,
"Vitamin A, IU",IU,14,
Lipids
"Fatty acids, total saturated",g,0.900,
"Fatty acids, total monounsaturated",g,1.600,
"Fatty acids, total polyunsaturated",g,4.000,
"Fatty acids, total trans",g,0.100,
"Cholesterol",mg,1,
Amino Acids
Other
