Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 03, 2017 17:33 EST
"Nutrient data for: 21224, Pizza, cheese topping, regular crust, frozen, cooked"
Nutrient,Unit,1Value per 100 g,"1 serving 9 servings per 24 oz package = 81.0g","1 serving 3 servings per 15.1 oz package = 151.0g","1 serving 2 servings per 9.8 oz package = 146.0g","1 serving 1 serving per 8 oz box = 199.0g","1 package 24 oz pizza = 727.0g","1 package 15.1 oz pizza = 452.0g","1 package 9.8 oz pizza = 293.0g","1 package 8 oz pizza = 199.0g",
Proximates
"Water",g,46.28,37.49,69.88,67.57,92.10,336.46,209.19,135.60,92.10
"Energy",kcal,268,217,405,391,533,1948,1211,785,533
"Protein",g,10.36,8.39,15.64,15.13,20.62,75.32,46.83,30.35,20.62
"Total lipid (fat)",g,12.28,9.95,18.54,17.93,24.44,89.28,55.51,35.98,24.44
"Carbohydrate, by difference",g,29.02,23.51,43.82,42.37,57.75,210.98,131.17,85.03,57.75
"Fiber, total dietary",g,2.2,1.8,3.3,3.2,4.4,16.0,9.9,6.4,4.4
"Sugars, total",g,3.57,2.89,5.39,5.21,7.10,25.95,16.14,10.46,7.10
Minerals
"Calcium, Ca",mg,179,145,270,261,356,1301,809,524,356
"Iron, Fe",mg,2.27,1.84,3.43,3.31,4.52,16.50,10.26,6.65,4.52
"Magnesium, Mg",mg,23,19,35,34,46,167,104,67,46
"Phosphorus, P",mg,179,145,270,261,356,1301,809,524,356
"Potassium, K",mg,152,123,230,222,302,1105,687,445,302
"Sodium, Na",mg,447,362,675,653,890,3250,2020,1310,890
"Zinc, Zn",mg,1.32,1.07,1.99,1.93,2.63,9.60,5.97,3.87,2.63
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2,1.0,1.8,1.8,2.4,8.7,5.4,3.5,2.4
"Thiamin",mg,0.211,0.171,0.319,0.308,0.420,1.534,0.954,0.618,0.420
"Riboflavin",mg,0.258,0.209,0.390,0.377,0.513,1.876,1.166,0.756,0.513
"Niacin",mg,2.196,1.779,3.316,3.206,4.370,15.965,9.926,6.434,4.370
"Vitamin B-6",mg,0.083,0.067,0.125,0.121,0.165,0.603,0.375,0.243,0.165
"Folate, DFE",µg,65,53,98,95,129,473,294,190,129
"Vitamin B-12",µg,0.78,0.63,1.18,1.14,1.55,5.67,3.53,2.29,1.55
"Vitamin A, RAE",µg,66,53,100,96,131,480,298,193,131
"Vitamin A, IU",IU,342,277,516,499,681,2486,1546,1002,681
"Vitamin E (alpha-tocopherol)",mg,1.01,0.82,1.53,1.47,2.01,7.34,4.57,2.96,2.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,6.6,5.3,10.0,9.6,13.1,48.0,29.8,19.3,13.1
Lipids
"Fatty acids, total saturated",g,4.272,3.460,6.451,6.237,8.501,31.057,19.309,12.517,8.501
"Fatty acids, total monounsaturated",g,4.246,3.439,6.411,6.199,8.450,30.868,19.192,12.441,8.450
"Fatty acids, total polyunsaturated",g,1.903,1.541,2.874,2.778,3.787,13.835,8.602,5.576,3.787
"Cholesterol",mg,14,11,21,20,28,102,63,41,28
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0
