Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35154, Salmonberries, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,88.21,
"Energy",kcal,47,
"Protein",g,0.85,
"Total lipid (fat)",g,0.33,
"Carbohydrate, by difference",g,10.05,
"Fiber, total dietary",g,1.9,
"Sugars, total",g,3.66,
Minerals
"Calcium, Ca",mg,13,
"Iron, Fe",mg,0.40,
"Magnesium, Mg",mg,15,
"Phosphorus, P",mg,27,
"Potassium, K",mg,110,
"Sodium, Na",mg,14,
"Zinc, Zn",mg,0.28,
Vitamins
"Vitamin C, total ascorbic acid",mg,9.2,
"Thiamin",mg,0.041,
"Riboflavin",mg,0.062,
"Niacin",mg,0.466,
"Vitamin B-6",mg,0.078,
"Folate, DFE",µg,17,
"Vitamin A, RAE",µg,50,
"Vitamin A, IU",IU,496,
"Vitamin E (alpha-tocopherol)",mg,1.61,
"Vitamin K (phylloquinone)",µg,14.8,
Lipids
Amino Acids
Other
