Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35012, Whale, beluga, flipper, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,57.50,
"Energy",kcal,271,
"Protein",g,19.00,
"Total lipid (fat)",g,21.70,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,11,
"Iron, Fe",mg,2.80,
"Phosphorus, P",mg,153,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Vitamin A, RAE",µg,279,
"Vitamin A, IU",IU,930,
Lipids
Amino Acids
Other
"Caffeine",mg,0,
