Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35022, Caribou, eye, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,57.10,
"Energy",kcal,326,
"Protein",g,10.80,
"Total lipid (fat)",g,31.40,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,19,
"Iron, Fe",mg,4.70,
"Phosphorus, P",mg,58,
Vitamins
"Thiamin",mg,0.010,
"Riboflavin",mg,0.050,
"Niacin",mg,0.200,
"Vitamin A, IU",IU,400,
Lipids
Amino Acids
Other
