Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35150, Fish, salmon, coho (silver), raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,69.38,
"Energy",kcal,140,
"Protein",g,22.56,
"Total lipid (fat)",g,5.57,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,5,
"Iron, Fe",mg,0.55,
"Magnesium, Mg",mg,28,
"Phosphorus, P",mg,240,
"Potassium, K",mg,380,
"Sodium, Na",mg,58,
"Zinc, Zn",mg,0.41,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.152,
"Riboflavin",mg,0.189,
"Niacin",mg,7.930,
"Vitamin B-6",mg,0.225,
"Folate, DFE",µg,13,
"Vitamin B-12",µg,8.52,
"Vitamin A, RAE",µg,30,
"Vitamin A, IU",IU,100,
"Vitamin E (alpha-tocopherol)",mg,0.81,
"Vitamin K (phylloquinone)",µg,0.2,
Lipids
"Fatty acids, total saturated",g,0.904,
"Fatty acids, total monounsaturated",g,1.790,
"Fatty acids, total polyunsaturated",g,2.410,
"Cholesterol",mg,58,
Amino Acids
Other
"Caffeine",mg,0,
