Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35134, Corn, dried (Navajo)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,8.10,
"Energy",kcal,386,
"Protein",g,9.88,
"Total lipid (fat)",g,5.22,
"Carbohydrate, by difference",g,74.93,
"Sugars, total",g,5.38,
Minerals
"Calcium, Ca",mg,15,
"Iron, Fe",mg,1.92,
"Magnesium, Mg",mg,124,
"Phosphorus, P",mg,337,
"Potassium, K",mg,511,
"Sodium, Na",mg,13,
"Zinc, Zn",mg,3.05,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.200,
"Riboflavin",mg,0.068,
"Niacin",mg,3.300,
"Vitamin B-6",mg,0.372,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin K (phylloquinone)",µg,0.9,
Lipids
"Fatty acids, total saturated",g,0.820,
"Fatty acids, total monounsaturated",g,1.483,
"Fatty acids, total polyunsaturated",g,1.900,
Amino Acids
Other
