Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35086, Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,40.00,
"Energy",kcal,465,
"Protein",g,12.60,
"Total lipid (fat)",g,46.10,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,5,
"Phosphorus, P",mg,87,
Vitamins
"Thiamin",mg,0.080,
"Riboflavin",mg,0.020,
"Niacin",mg,0.800,
"Vitamin A, IU",IU,750,
Lipids
"Fatty acids, total saturated",g,6.560,
"Fatty acids, total monounsaturated",g,28.120,
"Fatty acids, total polyunsaturated",g,7.970,
"Cholesterol",mg,54,
Amino Acids
Other
